Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Number of Nodes: 15 Number of Edges: 1000000
Probability Params: 0.100000 0.300000 0.300000.
Version: 3
Num processors: 128
Process: 32, time for step 1: 0.043474
Process: 65, time for step 1: 0.036502
Process: 65, time for step 2: 0.000252
Process: 65, time for step 3: 0.029366
Process: 65, time for step 4: 0.000403
Process: 65, time for step 5: 0.014562
Process: 65, time for step 6: 0.010748
Process: 65, time for step 7: 0.035529
Process: 36, time for step 1: 0.043855
Process: 36, time for step 2: 0.000241
Process: 36, time for step 3: 0.025749
Process: 36, time for step 4: 0.000387
Process: 36, time for step 5: 0.018462
Process: 36, time for step 6: 0.010844
Process: 36, time for step 7: 0.027816
Process: 38, time for step 1: 0.036632
Process: 38, time for step 2: 0.000233
Process: 38, time for step 3: 0.027504
Process: 38, time for step 4: 0.000384
Process: 38, time for step 5: 0.016628
Process: 38, time for step 6: 0.014254
Process: 38, time for step 7: 0.030853
Process: 34, time for step 1: 0.039041
Process: 34, time for step 2: 0.000230
Process: 34, time for step 3: 0.026336
Process: 34, time for step 4: 0.000385
Process: 34, time for step 5: 0.018061
Process: 34, time for step 6: 0.010596
Process: 34, time for step 7: 0.032630
Process: 98, time for step 1: 0.032093
Process: 98, time for step 2: 0.000241
Process: 98, time for step 3: 0.030865
Process: 98, time for step 4: 0.000384
Process: 98, time for step 5: 0.013075
Process: 98, time for step 6: 0.014313
Process: 98, time for step 7: 0.036361
Process: 100, time for step 1: 0.035347
Process: 100, time for step 2: 0.000214
Process: 100, time for step 3: 0.030075
Process: 100, time for step 4: 0.000372
Process: 100, time for step 5: 0.013988
Process: 100, time for step 6: 0.014782
Process: 100, time for step 7: 0.032236
Process: 102, time for step 1: 0.033259
Process: 102, time for step 2: 0.000205
Process: 102, time for step 3: 0.029997
Process: 102, time for step 4: 0.000362
Process: 102, time for step 5: 0.014006
Process: 102, time for step 6: 0.019514
Process: 102, time for step 7: 0.029090
Process: 71, time for step 1: 0.035021
Process: 71, time for step 2: 0.000206
Process: 71, time for step 3: 0.029075
Process: 71, time for step 4: 0.000358
Process: 71, time for step 5: 0.014811
Process: 71, time for step 6: 0.019243
Process: 71, time for step 7: 0.027422
Process: 96, time for step 1: 0.032712
Process: 96, time for step 2: 0.000255
Process: 96, time for step 3: 0.030834
Process: 96, time for step 4: 0.000403
Process: 96, time for step 5: 0.013197
Process: 96, time for step 6: 0.010523
Process: 96, time for step 7: 0.039598
Process: 69, time for step 1: 0.036571
Process: 69, time for step 2: 0.000236
Process: 69, time for step 3: 0.029390
Process: 69, time for step 4: 0.000385
Process: 69, time for step 5: 0.014516
Process: 69, time for step 6: 0.014172
Process: 69, time for step 7: 0.031938
Process: 118, time for step 1: 0.029188
Process: 118, time for step 2: 0.000191
Process: 118, time for step 3: 0.030630
Process: 118, time for step 4: 0.000349
Process: 118, time for step 5: 0.013027
Process: 118, time for step 6: 0.026514
Process: 118, time for step 7: 0.026116
Process: 67, time for step 1: 0.035082
Process: 67, time for step 2: 0.000235
Process: 67, time for step 3: 0.028688
Process: 67, time for step 4: 0.000379
Process: 67, time for step 5: 0.015028
Process: 67, time for step 6: 0.014407
Process: 67, time for step 7: 0.033280
Process: 116, time for step 1: 0.029437
Process: 116, time for step 2: 0.000200
Process: 116, time for step 3: 0.031649
Process: 116, time for step 4: 0.000354
Process: 116, time for step 5: 0.012060
Process: 116, time for step 6: 0.020974
Process: 116, time for step 7: 0.031876
Process: 75, time for step 1: 0.035580
Process: 75, time for step 2: 0.000207
Process: 75, time for step 3: 0.028833
Process: 75, time for step 4: 0.000369
Process: 75, time for step 5: 0.014900
Process: 75, time for step 6: 0.019478
Process: 75, time for step 7: 0.027123
Process: 114, time for step 1: 0.032466
Process: 114, time for step 2: 0.000198
Process: 114, time for step 3: 0.030354
Process: 114, time for step 4: 0.000358
Process: 114, time for step 5: 0.013427
Process: 114, time for step 6: 0.020243
Process: 114, time for step 7: 0.029580
Process: 73, time for step 1: 0.036053
Process: 73, time for step 2: 0.000226
Process: 73, time for step 3: 0.030059
Process: 73, time for step 4: 0.000390
Process: 73, time for step 5: 0.013708
Process: 73, time for step 6: 0.014724
Process: 73, time for step 7: 0.031678
Process: 112, time for step 1: 0.033351
Process: 112, time for step 2: 0.000214
Process: 112, time for step 3: 0.030818
Process: 112, time for step 4: 0.000386
Process: 112, time for step 5: 0.012963
Process: 112, time for step 6: 0.014951
Process: 112, time for step 7: 0.034902
Process: 79, time for step 1: 0.032831
Process: 79, time for step 2: 0.000192
Process: 79, time for step 3: 0.027883
Process: 79, time for step 4: 0.000344
Process: 79, time for step 5: 0.015502
Process: 79, time for step 6: 0.025987
Process: 79, time for step 7: 0.023133
